"Id";"ExpertGroup";"EvaluatedScientificNameId";"EvaluatedScientificName";"EvaluatedScientificNameAuthor";"reproductionGenerationTime"
2842;"Karplanter";100507;"Cicerbita plumieri";"(L.) Kirschl.";20
5479;"Karplanter";217492;"Cirsium canum";"(L.) All.";15
2838;"Karplanter";100514;"Cirsium dissectum";"(L.) Hill";15
2833;"Karplanter";101625;"Claytonia perfoliata";"Donn ex Willd.";1
2806;"Karplanter";101626;"Claytonia sibirica";"L.";3
2877;"Karplanter";103101;"Clematis alpina";"Mill.";20
2156;"Karplanter";170023;"Clematis integrifolia";"L.";20
2876;"Karplanter";103102;"Clematis recta";"L.";20
2875;"Karplanter";103104;"Clematis tangutica";"(Maxim.) Korsh.";20
5485;"Karplanter";217497;"Clematis terniflora";"DC.";20
2874;"Karplanter";103105;"Clematis vitalba";"L.";20
2873;"Karplanter";103106;"Clematis viticella";"L.";20
2870;"Karplanter";101167;"Coincya monensis cheiranthos";"(Vill.) C.Aedo Pérez, Leadlay & Muñoz Garm.";2
2867;"Karplanter";99572;"Colchicum autumnale";"L.";10
2864;"Karplanter";99564;"Commelina communis";"L.";5
2863;"Karplanter";100301;"Conium maculatum";"L.";2
2902;"Karplanter";100520;"Conyza bonariensis";"(L.) Cronquist";1
2901;"Karplanter";100521;"Conyza canadensis";"(L.) Cronquist";1
2899;"Karplanter";100522;"Conyza sumatrensis";"(Retz.) E.Walker";1
2898;"Karplanter";100524;"Coreopsis grandiflora";"Hogg ex Sweet";5
2906;"Karplanter";100305;"Coriandrum sativum";"L.";1
5502;"Karplanter";217511;"Cortaderia jubata";"(Lemoine) Stapf";10
5503;"Karplanter";217512;"Cortaderia selloana";"(Schult. & Schult. f.) Asch. & Graebn.";10
2888;"Karplanter";103010;"Corydalis angustifolia";"(M.Bieb.) DC.";5
2886;"Karplanter";103012;"Corydalis bracteata";"(Steph. ex Willd.) Pers.";5
2885;"Karplanter";103014;"Corydalis nobilis";"(L.) Pers.";5
2884;"Karplanter";103015;"Corydalis ophiocarpa";"Hook.f. & Thomson";2
2857;"Karplanter";103017;"Corydalis solida";"(L.) Clairv.";5
1574;"Karplanter";128843;"Corydalis wendelboi";"Lidén";5
2348;"Karplanter";162791;"Corylus maxima";"Mill.";20
2932;"Karplanter";100530;"Cota tinctoria";"(L.) J.Gay";3
5509;"Karplanter";217520;"Cotoneaster ×suecicus";"G.Klotz";20
2233;"Karplanter";162940;"Cotoneaster acutifolius";"Turcz.";20
1889;"Karplanter";127926;"Cotoneaster adpressus";"Bois";20
2929;"Karplanter";103269;"Cotoneaster ascendens";"Flinck & B.Hylmö";20
2166;"Karplanter";170026;"Cotoneaster atropurpureus";"Flinck & B.Hylmö";20
2927;"Karplanter";103270;"Cotoneaster bullatus";"Bois";20
2149;"Karplanter";170028;"Cotoneaster cashmiriensis";"G.Klotz";20
5510;"Karplanter";217517;"Cotoneaster cochleatus";"(Franch.) G.Klotz";20
2926;"Karplanter";103271;"Cotoneaster dammeri";"C.K.Schneid.";20
2925;"Karplanter";103272;"Cotoneaster dielsianus";"E.Pritz.";20
2924;"Karplanter";103273;"Cotoneaster divaricatus";"Rehder & E.H.Wilson";20
1325;"Karplanter";128845;"Cotoneaster foveolatus";NA;20
2146;"Karplanter";170029;"Cotoneaster hissaricus";"Pojark.";20
2923;"Karplanter";103274;"Cotoneaster hjelmqvistii";"Flinck & B.Hylmö";20
2922;"Karplanter";103275;"Cotoneaster horizontalis";"Decne.";20
1573;"Karplanter";128844;"Cotoneaster ignescens";NA;20
2921;"Karplanter";103277;"Cotoneaster laetevirens";"(Rehder & E.H.Wilson) G.Klotz";20
1314;"Karplanter";128846;"Cotoneaster latifolius";NA;20
2931;"Karplanter";103278;"Cotoneaster lucidus";"Schltdl.";20
2920;"Karplanter";103279;"Cotoneaster moupinensis";"Franch.";20
2918;"Karplanter";103280;"Cotoneaster multiflorus";"Bunge";20
2930;"Karplanter";103281;"Cotoneaster nanshan";"M.Vilm. ex Mottet";20
2913;"Karplanter";143466;"Cotoneaster nebrodensis";"(Guss.) K.Koch";20
5511;"Karplanter";217518;"Cotoneaster przewalskii";"Pojark.";20
5512;"Karplanter";217519;"Cotoneaster pyrenaicus";"Gand.";20
2916;"Karplanter";103283;"Cotoneaster rotundifolius";"Wall. ex Lindl.";20
2915;"Karplanter";103284;"Cotoneaster salicifolius";"Franch.";20
2914;"Karplanter";143467;"Cotoneaster symondsii";"hort. ex T.Moore";20
2912;"Karplanter";103287;"Cotoneaster villosulus";"(Rehder & E.H.Wilson) Flinck & B.Hylmö";20
2910;"Karplanter";100533;"Cotula coronopifolia";"L.";1
1913;"Karplanter";156240;"Crataegus ×macrocarpa";"Hegetschw.";20
1914;"Karplanter";141662;"Crataegus ×media";"Bechst.";20
1899;"Karplanter";103289;"Crataegus flabellata";NA;20
2945;"Karplanter";103291;"Crataegus laevigata";"(Poir.) DC.";20
2934;"Karplanter";103292;"Crataegus macracantha";"Lodd. ex Loudon";20
2956;"Karplanter";103298;"Crataegus sanguinea";"Pall.";20
2954;"Karplanter";100536;"Crepis biennis";"L.";2
2953;"Karplanter";100537;"Crepis capillaris";"(L.) Wallr.";1
2950;"Karplanter";100543;"Crepis setosa";"Haller f.";1
2948;"Karplanter";99465;"Crocosmia ×crocosmiiflora";"(Lemoine ex Burb. & Dean) N.E.Br.";15
1312;"Karplanter";128724;"Crocus ×stellaris";NA;5
1311;"Karplanter";128722;"Crocus chrysanthus";"(Herb.) Herb.";5
2957;"Karplanter";99467;"Crocus flavus";"Weston";5
1310;"Karplanter";128723;"Crocus speciosus";"M.Bieb.";5
2946;"Karplanter";99468;"Crocus tommasinianus";"Herb.";5
2944;"Karplanter";99469;"Crocus vernus";"(L.) Hill";5
2943;"Karplanter";102202;"Cruciata laevipes";"Opiz";5
1936;"Karplanter";145535;"Cryptomeria japonica";"(Thunb. ex L. f.) D.Don";50
2819;"Karplanter";170574;"Cupressus nootkatensis";"D.Don";50
2983;"Karplanter";103697;"Cuscuta epithymum";"(L.) L.";1
1935;"Karplanter";145686;"Cyanus cheiranthifolius";"(Willd.) Soják";10
2777;"Karplanter";145683;"Cyanus montanus";"(L.) Hill";10
2732;"Karplanter";145684;"Cyanus segetum";"Hill";1
2771;"Karplanter";145685;"Cyanus triumfettii";"(All.) Dostál ex Á.Löve & D.Löve";10
2980;"Karplanter";100311;"Cyclospermum leptophyllum";"(Pers.) Sprague";1
2978;"Karplanter";102500;"Cymbalaria muralis";"P.Gaertn., B.Mey. & Scherb.";10
2973;"Karplanter";120051;"Cyperus eragrostis";"Lam.";5
2982;"Karplanter";101924;"Cytisus ×praecox";"Beauverd";15
2969;"Karplanter";101925;"Cytisus scoparius";"(L.) Link";20
5545;"Karplanter";217551;"Cytisus striatus";"(Hill) Rothm.";15
2967;"Karplanter";99983;"Dactylis glomerata";NA;15
2964;"Karplanter";145687;"Dactylorhiza majalis baltica";"(Klinge) H.Sund.";15
5549;"Karplanter";156357;"Daphne laureola";"L.";20
2962;"Karplanter";103300;"Dasiphora fruticosa";"(L.) Rydb.";20
2960;"Karplanter";103717;"Datura stramonium";"L.";1
2970;"Karplanter";100314;"Daucus carota carota";NA;2
5554;"Karplanter";217560;"Delairea odorata";"Lem.";15
3007;"Karplanter";127932;"Delphinium ×cultorum";"Voss";15
3006;"Karplanter";103118;"Delphinium elatum";"L.";15
5555;"Karplanter";217562;"Dennstaedtia punctilobula";"(Michx.) T.Moore";15
1932;"Karplanter";145541;"Deutzia purpurascens";"(Franch. ex L.Henry) Rehder";20
3001;"Karplanter";101484;"Dianthus barbatus";"L.";10
2998;"Karplanter";101486;"Dianthus caryophyllus";"L.";10
2389;"Karplanter";170166;"Dianthus glacialis";"Haenke";10
2994;"Karplanter";101491;"Dianthus plumarius";"L.";10
2993;"Karplanter";103019;"Dicentra formosa";"(Haw.) Walp.";10
2991;"Karplanter";127934;"Diervilla florida";NA;15
1930;"Karplanter";156424;"Digitalis grandiflora";"Mill.";3
